strain	location
USA/WA-UW161/2020	King County
USA/WA-UW98/2020	King County
USA/WA-UW133/2020	King County
USA/WA-UW244/2020	King County
USA/WA-UW248/2020	King County
USA/WA-UW263/2020	King County
USA/WA-UW362/2020	King County
USA/WA-UW-1294/2020	King County
USA/WA-UW-1349/2020	King County
USA/WA-UW175/2020	King County
USA/WA-UW289/2020	Pierce County
USA/WA-UW320/2020	King County
USA/WA-UW316/2020	King County
USA/WA-UW295/2020	Pierce County
USA/WA-UW245/2020	King County
USA/WA-UW262/2020	King County
USA/WA-UW261/2020	King County
USA/WA-UW290/2020	King County
USA/WA-UW300/2020	King County
USA/WA-UW302/2020	King County
USA/WA-UW249/2020	King County
USA/WA-UW306/2020	King County
USA/WA-UW255/2020	King County
USA/WA-UW305/2020	King County
USA/WA-UW247/2020	King County
USA/WA-UW265/2020	King County
USA/WA-UW246/2020	King County
USA/WA-UW307/2020	King County
USA/WA-UW268/2020	King County
USA/WA-UW308/2020	King County
USA/WA-UW279/2020	Pierce County
USA/WA-UW297/2020	Pierce County
USA/WA-UW301/2020	Pierce County
USA/WA-UW267/2020	King County
USA/WA-UW304/2020	King County
USA/WA-UW269/2020	Snohomish County
USA/WA-UW278/2020	Snohomish County
USA/WA-UW296/2020	Pierce County
USA/WA-UW314/2020	Snohomish County
USA/WA-UW253/2020	Snohomish County
USA/WA-UW322/2020	King County
USA/WA-UW336/2020	King County
USA/WA-UW323/2020	King County
USA/WA-UW356/2020	Snohomish County
USA/WA-UW367/2020	King County
USA/WA-UW357/2020	Pierce County
USA/WA-UW344/2020	King County
USA/WA-UW363/2020	King County
USA/WA-UW373/2020	King County
USA/WA-UW372/2020	King County
USA/WA-UW339/2020	King County
USA/WA-UW337/2020	King County
USA/WA-UW371/2020	King County
USA/WA-UW370/2020	Pierce County
USA/WA-UW346/2020	Skagit County
USA/WA-UW378/2020	King County
USA/WA-UW342/2020	King County
USA/WA-UW341/2020	King County
USA/WA-UW325/2020	King County
USA/WA-UW343/2020	Skagit County
USA/WA-UW345/2020	Skagit County
USA/WA-UW355/2020	Pierce County
USA/WA-UW388/2020	Skagit County
USA/WA-UW390/2020	Snohomish County
USA/WA-UW330/2020	Pierce County
USA/WA-UW375/2020	King County
USA/WA-UW376/2020	King County
USA/WA-UW365/2020	Skagit County
USA/WA-UW368/2020	Pierce County
USA/WA-UW332/2020	King County
USA/WA-UW347/2020	King County
USA/WA-UW340/2020	King County
USA/WA-UW361/2020	King County
USA/WA-UW338/2020	King County
USA/WA-UW360/2020	King County
USA/WA-UW359/2020	Spokane County
USA/WA-UW384/2020	Skagit County
USA/WA-UW333/2020	King County
USA/WA-UW387/2020	Snohomish County
USA/WA-UW386/2020	Snohomish County
USA/WA-UW385/2020	King County
USA/WA-UW389/2020	Spokane County
USA/WA-UW36/2020	King County
USA/WA-UW383/2020	Pierce County
USA/WA-UW-1268/2020	Snohomish County
USA/WA-UW-1269/2020	King County
USA/WA-UW-1271/2020	Pierce County
USA/WA-UW-1279/2020	King County
USA/WA-UW37/2020	King County
USA/WA-UW-1287/2020	King County
USA/WA-UW-1300/2020	Snohomish County
USA/WA-UW-1302/2020	Pierce County
USA/WA-UW-1304/2020	Pierce County
USA/WA-UW-1306/2020	Snohomish County
USA/WA-UW-1308/2020	King County
USA/WA-UW-1309/2020	King County
USA/WA-UW-1314/2020	King County
USA/WA-UW-1315/2020	Pierce County
USA/WA-UW-1319/2020	King County
USA/WA-UW-1320/2020	King County
