strain	location
USA/WA-UW-1327/2020	King County
USA/WA-UW-1329/2020	Pierce County
USA/WA-UW-1334/2020	Snohomish County
USA/WA-UW-1338/2020	King County
USA/WA-UW34/2020	King County
USA/WA-UW-1341/2020	Skagit County
USA/WA-UW-1342/2020	Skagit County
USA/WA-UW-1346/2020	Snohomish County
USA/WA-UW-1347/2020	Snohomish County
USA/WA-UW-1351/2020	King County
USA/WA-UW-1353/2020	King County
USA/WA-UW-1362/2020	King County
USA/WA-UW38/2020	King County
USA/WA-UW35/2020	King County
USA/WA-UW-1415/2020	Skagit County
USA/WA-UW-1417/2020	Pierce County
USA/WA-UW-1420/2020	King County
USA/WA-UW-1422/2020	King County
USA/WA-UW-1425/2020	King County
USA/WA-UW-1426/2020	Snohomish County
USA/WA-UW-1427/2020	Snohomish County
USA/WA-UW-1433/2020	King County
USA/WA-UW-1435/2020	Snohomish County
USA/WA-UW-1436/2020	King County
USA/WA-UW-1440/2020	King County
USA/WA-UW-1441/2020	King County
USA/WA-UW-1446/2020	Snohomish County
USA/WA-UW-1448/2020	King County
USA/WA-UW-1465/2020	Spokane County
USA/WA-UW-1470/2020	King County
USA/WA-UW-1471/2020	King County
USA/WA-UW-1472/2020	Spokane County
USA/WA-UW-1473/2020	Chelan County
USA/WA-UW-1478/2020	King County
USA/WA-UW39/2020	King County
USA/WA-UW-1538/2020	Skagit County
USA/WA-UW29/2020	King County
USA/WA-UW-1552/2020	King County
USA/WA-UW-1561/2020	King County
USA/WA-UW-1562/2020	King County
USA/WA-UW-1567/2020	Snohomish County
USA/WA-UW-1569/2020	King County
USA/WA-UW-1570/2020	King County
USA/WA-UW-1574/2020	King County
USA/WA-UW-1575/2020	King County
USA/WA-UW-1576/2020	King County
USA/WA-UW-1578/2020	King County
USA/WA-UW-1581/2020	Skagit County
USA/WA-UW-1583/2020	Yakima County
USA/WA-UW-1586/2020	King County
USA/WA-UW-1587/2020	King County
USA/WA-UW-1588/2020	King County
USA/WA-UW-1591/2020	King County
USA/WA-UW-1593/2020	Snohomish County
USA/WA-UW-1595/2020	King County
USA/WA-UW-1599/2020	Pierce County
USA/WA-UW-1603/2020	Skagit County
USA/WA-UW-1608/2020	Snohomish County
USA/WA-UW-1611/2020	Skagit County
USA/WA-UW-1616/2020	Whatcom County
USA/WA-UW-1620/2020	Skagit County
USA/WA-UW-1638/2020	King County
USA/WA-UW-1640/2020	King County
USA/WA-UW-1644/2020	King County
USA/WA-UW-1645/2020	King County
USA/WA-UW-1646/2020	King County
USA/WA-UW-1651/2020	King County
USA/WA-UW-1652/2020	King County
USA/WA-UW-1656/2020	Chelan County
USA/WA-UW-1659/2020	Skagit County
USA/WA-UW-1661/2020	King County
USA/WA-UW-1666/2020	King County
USA/WA-UW-1670/2020	King County
USA/WA-UW-1672/2020	King County
USA/WA-UW-1673/2020	King County
USA/WA-UW-1675/2020	King County
USA/WA-UW-1677/2020	Snohomish County
USA/WA-UW-1680/2020	Skagit County
USA/WA-UW-1682/2020	Yakima County
USA/WA-UW-1683/2020	King County
USA/WA-UW-1684/2020	Whatcom County
USA/WA-UW-1688/2020	Snohomish County
USA/WA-UW-1689/2020	Snohomish County
USA/WA-UW-1690/2020	Whatcom County
USA/WA-UW-1695/2020	King County
USA/WA-UW-1697/2020	King County
USA/WA-UW-1698/2020	King County
USA/WA-UW-1700/2020	Snohomish County
USA/WA-UW-1702/2020	King County
USA/WA-UW-1705/2020	King County
USA/WA-UW-1706/2020	King County
USA/WA-UW-1707/2020	King County
USA/WA-UW-1708/2020	King County
USA/WA-UW-1709/2020	King County
USA/WA-UW-1712/2020	Pierce County
USA/WA-UW-1715/2020	Pierce County
USA/WA-UW-1716/2020	King County
USA/WA-UW-1718/2020	Pierce County
USA/WA-UW-1722/2020	Yakima County
USA/WA-UW-1723/2020	King County
USA/WA-UW-1724/2020	King County
USA/WA-UW-1726/2020	King County
USA/WA-UW-1728/2020	King County
USA/WA-UW-1729/2020	King County
USA/WA-UW-1730/2020	King County
USA/WA-UW-1731/2020	King County
USA/WA-UW-1732/2020	King County
USA/WA-UW-1733/2020	King County
USA/WA-UW-1735/2020	King County
USA/WA-UW-1739/2020	King County
USA/WA-UW-1741/2020	Skagit County
USA/WA-UW-1744/2020	King County
USA/WA-UW-1745/2020	King County
USA/WA-UW-1748/2020	King County
USA/WA-UW-1750/2020	Yakima County
USA/WA-UW-1753/2020	Skagit County
USA/WA-UW-1756/2020	Skagit County
USA/WA-UW-1758/2020	Skagit County
USA/WA-UW-1760/2020	King County
USA/WA-UW-1762/2020	King County
USA/WA-UW-1765/2020	Pierce County
USA/WA-UW-1770/2020	King County
USA/WA-UW-1772/2020	King County
USA/WA-UW-1774/2020	King County
USA/WA-UW-1778/2020	Snohomish County
USA/WA-UW-1782/2020	King County
USA/WA-UW-1784/2020	Kitsap County
USA/WA-UW-1785/2020	King County
USA/WA-UW-1792/2020	Chelan County
USA/WA-UW-1796/2020	Pierce County
USA/WA-UW-1797/2020	King County
USA/WA-UW-1799/2020	Skagit County
USA/WA-UW-1801/2020	King County
USA/WA-UW-1805/2020	King County
USA/WA-UW-1821/2020	Pierce County
USA/WA-UW-1822/2020	Pierce County
USA/WA-UW-1824/2020	Pierce County
USA/WA-UW-1825/2020	Pierce County
USA/WA-UW-1826/2020	Pierce County
USA/WA-UW-1827/2020	Pierce County
USA/WA-UW-1828/2020	Pierce County
USA/WA-UW-1831/2020	Pierce County
USA/WA-UW-1835/2020	King County
USA/WA-UW-1840/2020	King County
USA/WA-UW-1843/2020	King County
USA/WA-UW-1846/2020	King County
USA/WA-UW-1850/2020	King County
USA/WA-UW-1853/2020	King County
USA/WA-UW-1854/2020	King County
USA/WA-UW-1855/2020	King County
USA/WA-UW-1858/2020	King County
USA/WA-UW-1860/2020	King County
USA/WA-UW-1863/2020	Chelan County
USA/WA-UW-1864/2020	Chelan County
USA/WA-UW-1865/2020	King County
USA/WA-UW-1866/2020	King County
USA/WA-UW-1868/2020	King County
USA/WA-UW-1870/2020	King County
USA/WA-UW-1872/2020	King County
USA/WA-UW-1874/2020	Snohomish County
USA/WA-UW-1877/2020	King County
USA/WA-UW-1878/2020	King County
USA/WA-UW-1879/2020	Whatcom County
USA/WA-UW-1888/2020	Kitsap County
USA/WA-UW-1890/2020	King County
USA/WA-UW-1904/2020	King County
USA/WA-UW-1905/2020	Pierce County
USA/WA-UW-1907/2020	Pierce County
USA/WA-UW-1913/2020	Pierce County
USA/WA-UW-1917/2020	Pierce County
USA/WA-UW-1919/2020	Pierce County
USA/WA-UW-1920/2020	Pierce County
USA/WA-UW-1921/2020	King County
USA/WA-UW-1928/2020	King County
USA/WA-UW-1930/2020	King County
USA/WA-UW-1944/2020	King County
USA/WA-UW-1946/2020	King County
USA/WA-UW-1947/2020	Kitsap County
USA/WA-UW-1948/2020	King County
USA/WA-UW-1954/2020	King County
USA/WA-UW-1955/2020	King County
USA/WA-UW-1956/2020	King County
USA/WA-UW-1963/2020	Skagit County
USA/WA-UW-1965/2020	King County
USA/WA-UW-1968/2020	Adams County WA
USA/WA-UW-1977/2020	Skagit County
USA/WA-UW-1984/2020	Island County
USA/WA-UW-1986/2020	Island County
USA/WA-UW-1988/2020	Island County
USA/WA-UW-1994/2020	King County
USA/WA-UW-1998/2020	King County
USA/WA-UW-2006/2020	Snohomish County
USA/WA-UW-2008/2020	King County
USA/WA-UW-2009/2020	Snohomish County
USA/WA-UW-2016/2020	Snohomish County
USA/WA-UW41/2020	King County
USA/WA-UW-2072/2020	Whatcom County
USA/WA-UW-2074/2020	King County
USA/WA-UW-2078/2020	Whatcom County
USA/WA-UW-2082/2020	King County
USA/WA-UW-2087/2020	King County
USA/WA-UW-2091/2020	King County
USA/WA-UW-2094/2020	King County
USA/WA-UW-2104/2020	Kitsap County
USA/WA-UW-2105/2020	King County
USA/WA-UW-2108/2020	Pierce County
USA/WA-UW-2112/2020	King County
USA/WA-UW-2119/2020	King County
USA/WA-UW-2131/2020	King County
USA/WA-UW-2132/2020	King County
USA/WA-UW-2137/2020	Pierce County
USA/WA-UW46/2020	Snohomish County
USA/WA-UW-2140/2020	Snohomish County
USA/WA-UW-2141/2020	Snohomish County
USA/WA-UW-2142/2020	Skagit County
USA/WA-UW-2144/2020	Skagit County
USA/WA-UW-2145/2020	Skagit County
USA/WA-UW-2146/2020	Skagit County
USA/WA-UW-2149/2020	Skagit County
USA/WA-UW-2164/2020	King County
USA/WA-UW-2169/2020	Pierce County
USA/WA-UW-2177/2020	Pierce County
USA/WA-UW-2179/2020	Pierce County
USA/WA-UW-2180/2020	Pierce County
USA/WA-UW-2181/2020	King County
USA/WA-UW-2186/2020	King County
USA/WA-UW-2192/2020	King County
USA/WA-UW-2193/2020	Pierce County
USA/WA-UW-2203/2020	King County
USA/WA-UW-2208/2020	King County
USA/WA-UW-2212/2020	King County
USA/WA-UW-2213/2020	Pierce County
USA/WA-UW-2214/2020	King County
USA/WA-UW-2215/2020	King County
USA/WA-UW-2218/2020	Chelan County
USA/WA-UW-2219/2020	King County
USA/WA-UW-2228/2020	Pierce County
USA/WA-UW-2230/2020	San Juan County
USA/WA-UW-2232/2020	Chelan County
USA/WA-UW-2234/2020	Pierce County
USA/WA-UW-2235/2020	Pierce County
USA/WA-UW-2236/2020	Pierce County
USA/WA-UW-2238/2020	Pierce County
USA/WA-UW-2240/2020	King County
USA/WA-UW-2244/2020	Kitsap County
USA/WA-UW-2245/2020	Thurston County
USA/WA-UW-2247/2020	Spokane County
USA/WA-UW-2249/2020	Spokane County
USA/WA-UW-2250/2020	Spokane County
USA/WA-UW-2253/2020	Spokane County
USA/WA-UW-2258/2020	Whatcom County
USA/WA-UW50/2020	King County
USA/WA12-UW8/2020	Snohomish County
USA/WA-UW51/2020	King County
USA/WA-UW49/2020	King County
USA/WA-UW52/2020	King County
USA/WA-UW54/2020	Snohomish County
USA/WA-UW55/2020	Snohomish County
USA/WA-UW56/2020	King County
USA/WA-UW57/2020	King County
USA/WA-UW58/2020	King County
USA/WA-UW59/2020	King County
USA/WA-UW60/2020	Snohomish County
USA/WA-UW61/2020	King County
USA/WA-UW62/2020	Pierce County
USA/WA-UW64/2020	King County
USA/WA-UW67/2020	King County
USA/WA-UW68/2020	King County
USA/WA-UW69/2020	King County
USA/WA-UW70/2020	Snohomish County
USA/WA-UW71/2020	Grays Harbor County
USA/WA-UW73/2020	King County
USA/WA-UW74/2020	King County
USA/WA-UW75/2020	King County
USA/WA-UW76/2020	King County
USA/WA-UW85/2020	Snohomish County
USA/WA-UW84/2020	Snohomish County
USA/WA-UW87/2020	King County
USA/WA-UW83/2020	King County
USA/WA-UW86/2020	Snohomish County
USA/WA-UW79/2020	King County
USA/WA-UW80/2020	King County
USA/WA-UW90/2020	King County
USA/WA-UW91/2020	Skagit County
USA/WA-UW82/2020	Snohomish County
USA/WA-UW77/2020	Snohomish County
USA/WA-UW78/2020	Snohomish County
USA/WA-UW89/2020	King County
USA/WA-UW81/2020	King County
USA/WA-UW92/2020	King County
USA/WA-UW88/2020	Pierce County
USA/WA-UW96/2020	King County
USA/WA-UW95/2020	King County
USA/WA-UW94/2020	King County
USA/WA-UW-3809/2020	King County
USA/WA-UW-3810/2020	King County
USA/WA-UW-3812/2020	King County
USA/WA-UW-3814/2020	King County
USA/WA-UW-3815/2020	King County
USA/WA-UW-3816/2020	King County
USA/WA-UW-3819/2020	Snohomish County
USA/WA-UW-3826/2020	Snohomish County
USA/WA-UW-3827/2020	King County
USA/WA-UW-3828/2020	Pierce County
USA/WA-UW-3829/2020	Pierce County
USA/WA-UW-3832/2020	King County
USA/WA-UW-3833/2020	King County
USA/WA-UW-3834/2020	Snohomish County
USA/WA-UW-3838/2020	Pierce County
USA/WA-UW-3839/2020	Snohomish County
USA/WA-UW93/2020	Snohomish County
USA/WA-UW-3843/2020	King County
USA/WA-UW-3844/2020	Pierce County
USA/WA-UW-3850/2020	King County
USA/WA-UW-3855/2020	Snohomish County
USA/WA-UW-3858/2020	King County
USA/WA-UW-3862/2020	King County
USA/WA-UW-3868/2020	King County
USA/WA-UW-3871/2020	Pierce County
USA/WA-UW-3880/2020	King County
USA/WA-UW-3881/2020	Pierce County
USA/WA-UW-3883/2020	King County
USA/WA-UW-3889/2020	King County
USA/WA-UW101/2020	Pierce County
USA/WA-UW-3895/2020	King County
USA/WA-UW-3900/2020	King County
USA/WA-UW-3903/2020	King County
USA/WA-UW-3908/2020	King County
USA/WA-UW-3911/2020	Snohomish County
USA/WA-UW-3917/2020	King County
USA/WA-UW-3918/2020	King County
USA/WA-UW-3923/2020	Skagit County
USA/WA-UW103/2020	King County
USA/WA-UW-3932/2020	King County
USA/WA-UW-3935/2020	Skagit County
USA/WA-UW-3939/2020	King County
USA/WA-UW-3940/2020	Snohomish County
USA/WA-UW-3941/2020	King County
USA/WA-UW-3942/2020	King County
USA/WA-UW-3946/2020	King County
USA/WA-UW104/2020	King County
USA/WA-UW-3950/2020	Whatcom County
USA/WA-UW-3954/2020	King County
USA/WA-UW-3959/2020	Whatcom County
USA/WA-UW-3963/2020	King County
USA/WA-UW-3964/2020	King County
USA/WA-UW-3969/2020	Pierce County
USA/WA-UW-3973/2020	King County
USA/WA-UW-3983/2020	King County
USA/WA-UW-3985/2020	King County
USA/WA-UW-3988/2020	King County
USA/WA-UW-3989/2020	Snohomish County
USA/WA-UW-3990/2020	Snohomish County
USA/WA-UW-3992/2020	King County
USA/WA-UW-3994/2020	King County
USA/WA-UW-3996/2020	King County
USA/WA-UW-3997/2020	King County
USA/WA-UW102/2020	King County
USA/WA-UW107/2020	King County
USA/WA-UW-4035/2020	Pierce County
USA/WA-UW-4038/2020	Pierce County
USA/WA-UW-4039/2020	Spokane County
USA/WA-UW116/2020	King County
USA/WA-UW-4068/2020	King County
USA/WA-UW-4082/2020	King County
USA/WA-UW-4105/2020	King County
USA/WA-UW-4109/2020	Skagit County
USA/WA-UW-4111/2020	Skagit County
USA/WA-UW-4130/2020	King County
USA/WA-UW117/2020	King County
USA/WA-UW106/2020	King County
USA/WA-UW-4180/2020	King County
USA/WA-UW-4188/2020	King County
USA/WA-UW121/2020	King County
USA/WA-UW-4197/2020	Snohomish County
USA/WA-UW-4213/2020	King County
USA/WA-UW-4217/2020	King County
USA/WA-UW108/2020	King County
USA/WA-UW-4226/2020	King County
USA/WA-UW-4227/2020	Snohomish County
USA/WA-UW-4228/2020	King County
USA/WA-UW110/2020	Snohomish County
USA/WA-UW-4243/2020	King County
USA/WA-UW115/2020	Snohomish County
USA/WA-UW114/2020	Snohomish County
USA/WA-UW109/2020	Snohomish County
USA/WA-UW-4279/2020	Pierce County
USA/WA-UW-4281/2020	Pierce County
USA/WA-UW-4289/2020	Pierce County
USA/WA-UW-4290/2020	Pierce County
USA/WA-UW-4291/2020	Pierce County
USA/WA-UW-4292/2020	Pierce County
USA/WA-UW105/2020	King County
USA/WA-UW-4315/2020	King County
USA/WA-UW-4316/2020	King County
USA/WA-UW-4318/2020	San Juan County
USA/WA-UW111/2020	Snohomish County
USA/WA-UW-4321/2020	King County
USA/WA-UW-4322/2020	King County
USA/WA-UW-4324/2020	King County
USA/WA-UW-4326/2020	King County
USA/WA-UW-4329/2020	Pierce County
USA/WA-UW-4330/2020	King County
USA/WA-UW-4335/2020	King County
USA/WA-UW-4337/2020	King County
USA/WA-UW-4338/2020	King County
USA/WA-UW-4340/2020	King County
USA/WA-UW97/2020	King County
USA/WA-UW-4370/2020	King County
USA/WA-UW-4404/2020	Pierce County
USA/WA-UW-4406/2020	King County
USA/WA-UW-4407/2020	King County
USA/WA-UW-4413/2020	King County
USA/WA-UW120/2020	Snohomish County
USA/WA-UW118/2020	Snohomish County
USA/WA-UW100/2020	King County
USA/WA-UW99/2020	King County
USA/WA-UW-4499/2020	King County
USA/WA-UW-4500/2020	King County
USA/WA-UW-4538/2020	King County
USA/WA-UW-4546/2020	Pierce County
USA/WA-UW-4549/2020	Skagit County
USA/WA-UW-4564/2020	Skagit County
USA/WA-UW-4565/2020	Snohomish County
USA/WA-UW-4578/2020	King County
USA/WA-UW-4579/2020	King County
USA/WA-UW-4582/2020	King County
USA/WA-UW-4593/2020	King County
USA/WA-UW-4594/2020	King County
USA/WA-UW-4602/2020	King County
USA/WA-UW-4609/2020	Island County
USA/WA-UW140/2020	King County
USA/WA-UW-4611/2020	King County
USA/WA-UW-4612/2020	King County
USA/WA-UW-4649/2020	King County
USA/WA-UW128/2020	King County
USA/WA-UW-4677/2020	Pierce County
USA/WA-UW-4703/2020	King County
USA/WA-UW-4705/2020	King County
USA/WA-UW-4707/2020	King County
USA/WA-UW130/2020	Skagit County
USA/WA-UW-4732/2020	Spokane County
USA/WA-UW-4734/2020	King County
USA/WA-UW-4741/2020	King County
USA/WA-UW-4744/2020	King County
USA/WA-UW-4749/2020	King County
USA/WA-UW123/2020	King County
USA/WA-UW132/2020	King County
USA/WA-UW-4760/2020	King County
USA/WA-UW-4763/2020	Pierce County
USA/WA-UW-4766/2020	King County
USA/WA-UW-4769/2020	Pierce County
USA/WA-UW-4770/2020	Pierce County
USA/WA-UW-4775/2020	Spokane County
USA/WA-UW-4777/2020	Pierce County
USA/WA-UW131/2020	King County
USA/WA-UW129/2020	King County
USA/WA-UW124/2020	King County
USA/WA-UW-4892/2020	King County
USA/WA-UW-4897/2020	King County
USA/WA-UW-4921/2020	King County
USA/WA-UW-4925/2020	King County
USA/WA-UW-4999/2020	Spokane County
USA/WA-UW-5025/2020	King County
USA/WA-UW141/2020	King County
USA/WA-UW-5065/2020	King County
USA/WA-UW-5095/2020	King County
USA/WA-UW127/2020	King County
USA/WA-UW142/2020	Pierce County
USA/WA-UW-5136/2020	Spokane County
USA/WA-UW-5144/2020	King County
USA/WA-UW-5152/2020	King County
USA/WA-UW-5158/2020	King County
USA/WA-UW-5164/2020	King County
USA/WA-UW-5166/2020	King County
USA/WA-UW-5169/2020	King County
USA/WA-UW-517/2020	King County
USA/WA-UW-5170/2020	King County
USA/WA-UW-5177/2020	Pierce County
USA/WA-UW-5178/2020	King County
USA/WA-UW-518/2020	Pierce County
USA/WA-UW-5181/2020	King County
USA/WA-UW-5182/2020	King County
USA/WA-UW-5189/2020	Pierce County
USA/WA-UW-5190/2020	Pierce County
USA/WA-UW-5192/2020	King County
USA/WA-UW-5194/2020	King County
USA/WA-UW-5200/2020	King County
USA/WA-UW-5203/2020	King County
USA/WA-UW-5205/2020	King County
USA/WA-UW-524/2020	King County
USA/WA-UW-525/2020	King County
USA/WA-UW-530/2020	King County
USA/WA-UW-5359/2020	King County
USA/WA-UW-5364/2020	King County
USA/WA-UW-5371/2020	King County
USA/WA-UW-5397/2020	Snohomish County
USA/WA-UW-5400/2020	Pierce County
USA/WA-UW-542/2020	Snohomish County
USA/WA-UW-543/2020	Snohomish County
USA/WA-UW-546/2020	Snohomish County
USA/WA-UW-555/2020	King County
USA/WA-UW-558/2020	King County
USA/WA-UW-5617/2020	King County
USA/WA-UW-5629/2020	King County
USA/WA-UW-5717/2020	Snohomish County
USA/WA-UW-572/2020	King County
USA/WA-UW-5732/2020	King County
USA/WA-UW-5737/2020	King County
USA/WA-UW-5750/2020	Pierce County
USA/WA-UW-5756/2020	King County
USA/WA-UW-586/2020	Kitsap County
USA/WA-UW-5879/2020	Pierce County
USA/WA-UW-5884/2020	Pierce County
USA/WA-UW-5911/2020	Chelan County
USA/WA-UW-5932/2020	King County
USA/WA-UW-5947/2020	Skagit County
USA/WA-UW-596/2020	King County
USA/WA-UW-600/2020	Snohomish County
USA/WA-UW-602/2020	King County
USA/WA-UW-604/2020	King County
USA/WA-UW155/2020	Skagit County
USA/WA-UW-6162/2020	King County
USA/WA-UW-6164/2020	King County
USA/WA-UW162/2020	King County
USA/WA-UW-6170/2020	King County
USA/WA-UW-6173/2020	King County
USA/WA-UW-6178/2020	King County
USA/WA-UW163/2020	King County
USA/WA-UW-6185/2020	King County
USA/WA-UW-6186/2020	King County
USA/WA-UW164/2020	Thurston County
USA/WA-UW160/2020	Snohomish County
USA/WA-UW-6211/2020	Pierce County
USA/WA-UW-6213/2020	Snohomish County
USA/WA-UW-6240/2020	King County
USA/WA-UW-6241/2020	King County
USA/WA-UW-6243/2020	King County
USA/WA-UW-6302/2020	Skagit County
USA/WA-UW-6315/2020	King County
USA/WA-UW-6327/2020	Snohomish County
USA/WA-UW-6331/2020	Snohomish County
USA/WA-UW-6335/2020	Pierce County
USA/WA-UW153/2020	King County
USA/WA-UW152/2020	King County
USA/WA-UW157/2020	Pierce County
USA/WA-UW-6399/2020	King County
USA/WA-UW-6400/2020	King County
USA/WA-UW-6403/2020	Snohomish County
USA/WA-UW-6404/2020	King County
USA/WA-UW-6408/2020	King County
USA/WA-UW-6410/2020	King County
USA/WA-UW-6417/2020	King County
USA/WA-UW201/2020	King County
USA/WA-UW198/2020	King County
USA/WA-UW192/2020	Pierce County
USA/WA-UW194/2020	King County
USA/WA-UW195/2020	King County
USA/WA-UW196/2020	King County
USA/WA-UW197/2020	King County
USA/WA-UW202/2020	King County
USA/WA-UW203/2020	Pierce County
USA/WA-UW200/2020	King County
USA/WA-UW193/2020	Snohomish County
USA/WA-UW199/2020	King County
USA/WA-UW181/2020	King County
USA/WA-UW176/2020	King County
USA/WA-UW184/2020	King County
USA/WA-UW190/2020	King County
USA/WA-UW191/2020	King County
USA/WA-UW178/2020	King County
USA/WA-UW182/2020	Snohomish County
USA/WA-UW183/2020	King County
USA/WA-UW189/2020	King County
USA/WA-UW169/2020	King County
USA/WA-UW171/2020	Skagit County
USA/WA-UW187/2020	Snohomish County
USA/WA-UW188/2020	King County
USA/WA-UW180/2020	King County
USA/WA-UW185/2020	King County
USA/WA-UW170/2020	Snohomish County
USA/WA-UW186/2020	Snohomish County
USA/WA-UW168/2020	King County
USA/WA-UW172/2020	Snohomish County
USA/WA-UW173/2020	King County
USA/WA-UW167/2020	King County
USA/WA-UW23/2020	Pierce County
USA/WA-UW174/2020	King County
USA/WA-UW207/2020	Pierce County
USA/WA-UW206/2020	King County
USA/WA-UW220/2020	King County
USA/WA-UW227/2020	King County
USA/WA-UW225/2020	King County
USA/WA-UW222/2020	King County
USA/WA-UW226/2020	King County
USA/WA-UW204/2020	Snohomish County
USA/WA-UW145/2020	King County
USA/WA-UW147/2020	King County
USA/WA-UW149/2020	King County
USA/WA-UW150/2020	King County
USA/WA-UW154/2020	Snohomish County
USA/WA-UW151/2020	King County
USA/WA-UW146/2020	Snohomish County
USA/WA-UW148/2020	King County
USA/WA-UW212/2020	King County
USA/WA-UW211/2020	King County
USA/WA-UW205/2020	King County
USA/WA-UW217/2020	Pierce County
USA/WA-UW27/2020	King County
USA/WA-UW218/2020	Whatcom County
USA/WA-UW233/2020	Snohomish County
USA/WA-UW232/2020	Snohomish County
USA/WA-UW209/2020	Pierce County
USA/WA-UW28/2020	King County
USA/WA-UW210/2020	King County
USA/WA-UW221/2020	King County
USA/WA-UW214/2020	Snohomish County
USA/WA-UW240/2020	Skagit County
USA/WA-UW215/2020	King County
USA/WA-UW216/2020	King County
USA/WA-UW242/2020	King County
USA/WA-UW208/2020	Pierce County
USA/WA-UW228/2020	King County
USA/WA-UW229/2020	Skagit County
USA/WA-UW231/2020	Skagit County
USA/WA-UW236/2020	King County
USA/WA-UW24/2020	King County
USA/WA-UW241/2020	Snohomish County
USA/WA-UW235/2020	Snohomish County
USA/WA-UW237/2020	King County
USA/WA-UW25/2020	King County
USA/WA-UW234/2020	King County
USA/WA-UW317/2020	Snohomish County
USA/WA-UW239/2020	Snohomish County
USA/WA-UW313/2020	King County
USA/WA-UW280/2020	King County
USA/WA-UW318/2020	King County
USA/WA-UW285/2020	King County
USA/WA-UW26/2020	King County
USA/WA-UW310/2020	Snohomish County
USA/WA-UW286/2020	Snohomish County
USA/WA-UW319/2020	Yakima County
USA/WA-UW284/2020	King County
USA/WA-UW312/2020	Snohomish County
USA/WA-UW283/2020	Snohomish County
USA/WA-UW299/2020	King County
USA/WA-UW282/2020	Snohomish County
USA/WA-UW281/2020	King County
USA/WA-UW315/2020	King County
USA/WA-UW270/2020	Skagit County
USA/WA-UW298/2020	Snohomish County
USA/WA-UW277/2020	Chelan County
USA/WA-UW22/2020	King County
USA/WA-UW291/2020	King County
